Time (s),Angular velocity (rad/s),Acceleration (m/s^2)
0.339352885,0.005948512,0.028645726
0.830868998,0.018349368,0.026614753
1.322339335,1.935543017,0.350143285
2.30538682,4.234001729,1.685783168
3.288480082,4.637511633,2.890296178
4.27149705,4.881736483,3.103037872
5.254575053,5.099570439,3.510056968
6.23759202,5.283640227,3.731809064
7.220652988,5.394201744,3.89731434
7.712214877,5.397153375,4.11192623
8.203700473,5.42184494,4.050139363
8.695247104,5.490079793,4.305202751
9.186747958,5.458574182,4.22150753
9.678248813,5.462163762,4.251769965
10.16984122,5.49327604,4.375560056
10.90281241,5.516418097,4.330961738
11.88587516,5.501585103,4.386083333
12.8689379,5.453186976,4.340387683
13.36043875,5.494571404,4.456563688
13.85200064,5.443667311,4.459102929
14.34348624,5.472149299,4.357660976
14.83503287,5.462867277,4.448043458
15.32650321,5.444342732,4.450989089
15.8180651,5.482296994,4.444337977
16.30955069,5.469060275,4.396277888
16.80115836,5.490504848,4.613202559
17.29259287,5.488381002,4.391453267
17.7841395,5.492873115,4.590205952
18.27568613,5.48584094,4.427959298
18.76715646,5.455538663,4.466118011
19.25876413,5.470808222,4.456478757
19.99173532,5.458848693,4.400174791
20.97476755,5.464660384,4.391962251
21.95786081,5.464449174,4.461411754
22.44934641,5.454717237,4.459797501
22.94095407,5.469692234,4.423446536
23.43240915,5.444753038,4.461584812
23.9239863,5.454235373,4.398366343
24.41550241,5.427038562,4.420276238
24.90697275,5.424557406,4.3808826
25.3985499,5.463910426,4.414892332
25.89005075,5.394324186,4.425947395
26.3816279,5.432199766,4.40538395
26.87314401,5.408105126,4.351405273
27.36462121,5.424490515,4.334118767
28.09765344,5.378141517,4.432244158
29.08073144,5.369321358,4.403702227
29.57224756,5.405466764,3.734410391
30.06377893,5.403453951,4.800810138
30.55529504,5.403387033,3.67473656
31.04682641,5.433360502,4.785907888
31.53834253,5.377513888,3.950786525
32.27984338,4.976622624,3.580853914
33.26293664,2.918008304,1.205715114
33.75449853,1.858431558,1.011508447
34.24596887,0.56448267,1.038517677
34.73748498,0.024183804,0.846078086
